cluster;weight;km_before;km_after;time_h_before;time_h_after;fuel_brl_before;fuel_brl_after;improv_km_%;improv_time_%;improv_cost_%
0;time_h;3,6;3,6;0,0982;0,0982;0,67;0,67;0,0;0,0;0,0
1;time_h;8,4;7,6;0,3113;0,2891;1,56;1,41;9,52;7,13;9,52
