cluster,sequence,distance_km,time_h,fuel_l,fuel_cost_brl
0,"[0, 8, 2]",3.6,0.09821428571428573,0.10285714285714286,0.6685714285714286
1,"[0, 9, 4, 5, 7]",7.6,0.28914285714285715,0.21714285714285714,1.4114285714285715
